opd_date	rte	dir	day_of_week	is_ns	is_rapid	is_weekend	orca_total	frac_disabled	frac_youth	frac_senior	frac_li	frac_uw	ons	region	start	end	type	summer
2019-01-07	15	S	0	1.0	0.0	0.0	190.0	0.00234192037470726	0.004371584699453552	0.0	0.0030249804839968773	0.011581207116151033	204.0	Seattle	Blue Ridge	Downtown Seattle	Conventional	False
2019-01-07	17	S	0	1.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.02046783625730994	109.0	Seattle	Sunset Hill	Downtown Seattle	Conventional	False
2019-01-07	18	S	0	1.0	0.0	0.0	153.0	0.0	0.01851851851851852	0.0026455026455026454	0.0022675736961451248	0.02106227106227106	180.0	Seattle	North Beach	Downtown Seattle	Conventional	False
2019-01-07	19	S	0	1.0	0.0	0.0	155.0	0.004232804232804233	0.032086167800453515	0.022486772486772486	0.023809523809523808	0.01344118844118844	163.0	Seattle	West Magnolia	Downtown Seattle	Conventional	False
2019-01-07	21	N	0	1.0	0.0	0.0	1162.0	0.015312555496359436	0.012568181241596267	0.013790369637466068	0.01975249488568615	0.010725529132561631	1599.0	Seattle	Downtown Seattle	Westwood Village	Conventional	False
2019-01-07	21	S	0	1.0	0.0	0.0	1097.0	0.013274569368058509	0.01424267935119354	0.01226984849689357	0.016556701197769638	0.006783334454452986	1561.0	Seattle	Downtown Seattle	Westwood Village	Conventional	False
2019-01-07	24	N	0	1.0	0.0	0.0	795.0	0.005680770444437871	0.006907403846469906	0.006901281773149655	0.006307625555917127	0.004104767985747484	1022.0	Seattle	West Magnolia	Downtown Seattle	Conventional	False
2019-01-07	24	S	0	1.0	0.0	0.0	569.0	0.002579218865143699	0.008822140767608714	0.013384024474665593	0.013717055481978107	0.00503840914673634	712.0	Seattle	West Magnolia	Downtown Seattle	Conventional	False
2019-01-07	26	S	0	1.0	0.0	0.0	1189.0	0.009410108129273214	0.010672002465171344	0.006511350059737158	0.014771164249342614	0.021871990894761294	1489.0	Seattle	Northgate Transit Center	Downtown Seattle	Conventional	False
2019-01-07	27	N	0	1.0	0.0	0.0	394.0	0.016276937184777625	0.007278771205868868	0.011806510774873909	0.014809720311783582	0.011118752865657954	554.0	Seattle	Downtown Seattle	Colman Park	Conventional	False
2019-01-07	27	S	0	1.0	0.0	0.0	303.0	0.015601217656012177	0.01326103500761035	0.01131001798810018	0.015328513444951803	0.0063736681887366815	466.0	Seattle	Downtown Seattle	Colman Park	Conventional	False
2019-01-07	28	N	0	1.0	0.0	0.0	1322.0	0.013408632729227205	0.005131373894643534	0.00690049315314708	0.00958854289533695	0.012958525448687088	1706.0	Seattle	Carkeek Park	Downtown Seattle	Conventional	False
2019-01-07	28	S	0	1.0	0.0	0.0	1482.0	0.012121589587957301	0.0074201873529227795	0.012702268251595603	0.013393135057933263	0.016483871136337504	1735.0	Seattle	Carkeek Park	Downtown Seattle	Conventional	False
2019-01-07	29	N	0	1.0	0.0	0.0	422.0	0.004152249134948096	0.00536219835527794	0.003330012932089057	0.00774177763797141	0.00478399916116179	533.0	Seattle	Ballard	Downtown Seattle	Conventional	False
2019-01-07	29	S	0	1.0	0.0	0.0	512.0	0.007575757575757576	0.01483886483886484	0.006377264710598044	0.00691588504088504	0.0010521885521885522	557.0	Seattle	Ballard	Downtown Seattle	Conventional	False
2019-01-07	31	E	0	0.0	0.0	0.0	199.0	0.0	0.012054507337526204	0.012840670859538782	0.016614255765199162	0.11731306778476593	254.0	Seattle	Central Magnolia	Children's Hospital	Conventional	False
2019-01-07	31	W	0	0.0	0.0	0.0	282.0	0.002035723666929341	0.005397951142631994	0.0015891778303125821	0.010093249277646441	0.08277608915906788	332.0	Seattle	Central Magnolia	Children's Hospital	Conventional	False
2019-01-07	32	E	0	0.0	0.0	0.0	264.0	0.004310344827586206	0.007662835249042145	0.01496647509578544	0.019138667845564394	0.12346783963163273	333.0	Seattle	Seattle Center	Children's Hospital	Conventional	False
2019-01-07	32	W	0	0.0	0.0	0.0	362.0	0.004924242424242424	0.0025579322638146166	0.010833333333333334	0.009431818181818182	0.12953988413547238	419.0	Seattle	Seattle Center	Children's Hospital	Conventional	False
2019-01-07	36	N	0	1.0	0.0	0.0	2715.0	0.026346436251446243	0.02383335806309711	0.02486187850184323	0.03517315739239726	0.013607956125445365	4552.0	Seattle	Downtown Seattle	Othello Station	Trolley	False
2019-01-07	36	S	0	1.0	0.0	0.0	2947.0	0.02516197021500398	0.025820399840160702	0.02722719795118231	0.02933022908682004	0.009773564371024038	5270.0	Seattle	Downtown Seattle	Othello Station	Trolley	False
2019-01-07	37	S	0	1.0	0.0	0.0	39.0	0.00975609756097561	0.0	0.0016260162601626016	0.0008130081300813008	0.005781391147244806	45.0	Seattle	West Seattle	Downtown Seattle	Conventional	False
2019-01-07	40	N	0	1.0	0.0	0.0	2589.0	0.020728475048190198	0.01890394088669951	0.0161289661945584	0.025436537683539193	0.01214193103248575	3415.0	Seattle	Northgate Transit Center	Downtown Seattle	Conventional	False
2019-01-07	40	S	0	1.0	0.0	0.0	2131.0	0.015656506758547576	0.01699921960126042	0.014360235003092145	0.022431648850016205	0.010727662926642519	2878.0	Seattle	Northgate Transit Center	Downtown Seattle	Conventional	False
2019-01-07	43	N	0	1.0	0.0	0.0	184.0	0.013025210084033614	0.004855275443510738	0.006162464985994398	0.009897292250233428	0.10652927837801789	217.0	Seattle	Downtown Seattle	University District	Trolley	False
2019-01-07	43	S	0	1.0	0.0	0.0	175.0	0.009443339960238568	0.016567263088137836	0.002584493041749503	0.007322730284956926	0.0483764082173625	231.0	Seattle	Downtown Seattle	University District	Trolley	False
2019-01-07	44	N	0	1.0	0.0	0.0	3493.0	0.015893370027448245	0.015783665111759528	0.026516453516952105	0.021460465830120547	0.12014729015051535	4581.0	Seattle	Ballard	University District	Trolley	False
2019-01-07	44	S	0	1.0	0.0	0.0	2707.0	0.015244257538969392	0.0131911241596094	0.020672441603919126	0.016291438654929023	0.16909212633132673	3745.0	Seattle	Ballard	University District	Trolley	False
2019-01-07	45	E	0	0.0	0.0	0.0	2117.0	0.010947611097861515	0.013888515491186606	0.013743540822004931	0.01415600074197737	0.15529226199510007	3035.0	Seattle	Loyal Heights	University District	Conventional	False
2019-01-07	45	W	0	0.0	0.0	0.0	2881.0	0.012287927256367003	0.014546268632040877	0.012464196820316428	0.014440865466836207	0.09987318311919346	3858.0	Seattle	Loyal Heights	University District	Conventional	False
2019-01-07	47	N	0	1.0	0.0	0.0	131.0	0.010707070707070707	0.006060606060606061	0.012178932178932178	0.004069264069264069	0.0005531505531505531	186.0	Seattle	Downtown Seattle	Summit	Trolley	False
2019-01-07	47	S	0	1.0	0.0	0.0	280.0	0.022526041666666666	0.0	0.008138020833333332	0.010044642857142856	0.006919642857142857	375.0	Seattle	Downtown Seattle	Summit	Trolley	False
